date,quiniela,period,position,result
2014-11-11,mendoza,matutina,4,4036
2014-11-11,mendoza,matutina,5,3178
2014-11-11,mendoza,matutina,6,1974
2014-11-11,mendoza,matutina,7,8965
2014-11-11,mendoza,matutina,8,3214
2014-11-11,mendoza,matutina,9,2694
2014-11-11,mendoza,matutina,10,0030
2014-11-11,mendoza,matutina,11,3170
2014-11-11,mendoza,matutina,12,0883
2014-11-11,mendoza,matutina,13,4830
2014-11-11,mendoza,matutina,14,9116
2014-11-11,mendoza,matutina,15,4640
2014-11-11,mendoza,matutina,16,5510
2014-11-11,mendoza,matutina,17,7204
2014-11-11,mendoza,matutina,18,8563
2014-11-11,mendoza,matutina,19,1844
2014-11-11,mendoza,matutina,20,7347
2014-11-11,mendoza,matutina,Letras,- - - 
2014-11-12,mendoza,matutina, 1,6069
2014-11-12,mendoza,matutina,2,9990
2014-11-12,mendoza,matutina,3,6566
2014-11-12,mendoza,matutina,4,2720
2014-11-12,mendoza,matutina,5,9614
2014-11-12,mendoza,matutina,6,5036
2014-11-12,mendoza,matutina,7,3057
2014-11-12,mendoza,matutina,8,4485
2014-11-12,mendoza,matutina,9,0660
2014-11-12,mendoza,matutina,10,5399
2014-11-12,mendoza,matutina,11,4737
2014-11-12,mendoza,matutina,12,1933
2014-11-12,mendoza,matutina,13,4496
2014-11-12,mendoza,matutina,14,2688
2014-11-12,mendoza,matutina,15,4233
2014-11-12,mendoza,matutina,16,9715
2014-11-12,mendoza,matutina,17,6907
2014-11-12,mendoza,matutina,18,1445
2014-11-12,mendoza,matutina,19,9146
2014-11-12,mendoza,matutina,20,3859
2014-11-12,mendoza,matutina,Letras,- - - 
2014-11-13,mendoza,matutina, 1,2567
2014-11-13,mendoza,matutina,2,6178
2014-11-13,mendoza,matutina,3,0371
2014-11-13,mendoza,matutina,4,2315
2014-11-13,mendoza,matutina,5,5235
2014-11-13,mendoza,matutina,6,7201
2014-11-13,mendoza,matutina,7,9249
2014-11-13,mendoza,matutina,8,0515
2014-11-13,mendoza,matutina,9,6824
2014-11-13,mendoza,matutina,10,8266
2014-11-13,mendoza,matutina,11,1072
2014-11-13,mendoza,matutina,12,3614
2014-11-13,mendoza,matutina,13,9452
2014-11-13,mendoza,matutina,14,0068
2014-11-13,mendoza,matutina,15,7738
2014-11-13,mendoza,matutina,16,4634
2014-11-13,mendoza,matutina,17,9079
2014-11-13,mendoza,matutina,18,4863
2014-11-13,mendoza,matutina,19,2363
2014-11-13,mendoza,matutina,20,8210
2014-11-13,mendoza,matutina,Letras,- - - 
2014-11-14,mendoza,matutina, 1,2192
2014-11-14,mendoza,matutina,2,6548
2014-11-14,mendoza,matutina,3,7210
2014-11-14,mendoza,matutina,4,6357
2014-11-14,mendoza,matutina,5,4251
2014-11-14,mendoza,matutina,6,2654
2014-11-14,mendoza,matutina,7,0694
2014-11-14,mendoza,matutina,8,5512
2014-11-14,mendoza,matutina,9,6452
2014-11-14,mendoza,matutina,10,4020
2014-11-14,mendoza,matutina,11,6511
2014-11-14,mendoza,matutina,12,5494
2014-11-14,mendoza,matutina,13,0495
2014-11-14,mendoza,matutina,14,2769
2014-11-14,mendoza,matutina,15,2134
2014-11-14,mendoza,matutina,16,5777
2014-11-14,mendoza,matutina,17,4072
2014-11-14,mendoza,matutina,18,1164
2014-11-14,mendoza,matutina,19,2687
2014-11-14,mendoza,matutina,20,2613
2014-11-14,mendoza,matutina,Letras,- - - 
2014-11-15,mendoza,matutina, 1,5549
2014-11-15,mendoza,matutina,2,6352
2014-11-15,mendoza,matutina,3,2601
2014-11-15,mendoza,matutina,4,1413
2014-11-15,mendoza,matutina,5,1688
2014-11-15,mendoza,matutina,6,7186
2014-11-15,mendoza,matutina,7,2425
2014-11-15,mendoza,matutina,8,5205
2014-11-15,mendoza,matutina,9,6946
2014-11-15,mendoza,matutina,10,6183
2014-11-15,mendoza,matutina,11,7659
2014-11-15,mendoza,matutina,12,0212
2014-11-15,mendoza,matutina,13,4921
2014-11-15,mendoza,matutina,14,8687
2014-11-15,mendoza,matutina,15,0679
2014-11-15,mendoza,matutina,16,1629
2014-11-15,mendoza,matutina,17,0421
2014-11-15,mendoza,matutina,18,5666
2014-11-15,mendoza,matutina,19,6349
2014-11-15,mendoza,matutina,20,5152
2014-11-15,mendoza,matutina,Letras,- - - 
2014-11-17,mendoza,matutina, 1,7589
2014-11-17,mendoza,matutina,2,9709
2014-11-17,mendoza,matutina,3,7176
2014-11-17,mendoza,matutina,4,1516
2014-11-17,mendoza,matutina,5,8460
2014-11-17,mendoza,matutina,6,4873
2014-11-17,mendoza,matutina,7,8086
2014-11-17,mendoza,matutina,8,9760
2014-11-17,mendoza,matutina,9,5020
2014-11-17,mendoza,matutina,10,5941
2014-11-17,mendoza,matutina,11,0659
2014-11-17,mendoza,matutina,12,8677
2014-11-17,mendoza,matutina,13,5400
2014-11-17,mendoza,matutina,14,2424
2014-11-17,mendoza,matutina,15,2273
2014-11-17,mendoza,matutina,16,3802
2014-11-17,mendoza,matutina,17,8653
2014-11-17,mendoza,matutina,18,7840
2014-11-17,mendoza,matutina,19,9065
2014-11-17,mendoza,matutina,20,8579
2014-11-17,mendoza,matutina,Letras,- - - 
2014-11-18,mendoza,matutina, 1,9827
2014-11-18,mendoza,matutina,2,4714
2014-11-18,mendoza,matutina,3,8878
2014-11-18,mendoza,matutina,4,1913
2014-11-18,mendoza,matutina,5,9581
2014-11-18,mendoza,matutina,6,8685
2014-11-18,mendoza,matutina,7,7419
2014-11-18,mendoza,matutina,8,0222
2014-11-18,mendoza,matutina,9,2463
2014-11-18,mendoza,matutina,10,7362
2014-11-18,mendoza,matutina,11,8052
2014-11-18,mendoza,matutina,12,1647
2014-11-18,mendoza,matutina,13,0935
2014-11-18,mendoza,matutina,14,7963
2014-11-18,mendoza,matutina,15,2744
2014-11-18,mendoza,matutina,16,8573
2014-11-18,mendoza,matutina,17,5853
2014-11-18,mendoza,matutina,18,4518
2014-11-18,mendoza,matutina,19,3977
2014-11-18,mendoza,matutina,20,7370
2014-11-18,mendoza,matutina,Letras,- - - 
2014-11-19,mendoza,matutina, 1,5577
2014-11-19,mendoza,matutina,2,5649
2014-11-19,mendoza,matutina,3,6646
2014-11-19,mendoza,matutina,4,3460
2014-11-19,mendoza,matutina,5,4585
2014-11-19,mendoza,matutina,6,9509
2014-11-19,mendoza,matutina,7,1139
2014-11-19,mendoza,matutina,8,1611
2014-11-19,mendoza,matutina,9,7224
2014-11-19,mendoza,matutina,10,4809
2014-11-19,mendoza,matutina,11,7731
2014-11-19,mendoza,matutina,12,0968
2014-11-19,mendoza,matutina,13,2168
2014-11-19,mendoza,matutina,14,6711
2014-11-19,mendoza,matutina,15,7614
2014-11-19,mendoza,matutina,16,4914
2014-11-19,mendoza,matutina,17,7349
2014-11-19,mendoza,matutina,18,7497
2014-11-19,mendoza,matutina,19,2932
2014-11-19,mendoza,matutina,20,1846
2014-11-19,mendoza,matutina,Letras,- - - 
2014-11-20,mendoza,matutina, 1,3034
2014-11-20,mendoza,matutina,2,0992
2014-11-20,mendoza,matutina,3,3291
2014-11-20,mendoza,matutina,4,8997
2014-11-20,mendoza,matutina,5,3283
2014-11-20,mendoza,matutina,6,9239
2014-11-20,mendoza,matutina,7,4195
2014-11-20,mendoza,matutina,8,9470
2014-11-20,mendoza,matutina,9,3680
2014-11-20,mendoza,matutina,10,6690
2014-11-20,mendoza,matutina,11,7998
2014-11-20,mendoza,matutina,12,1481
2014-11-20,mendoza,matutina,13,3650
2014-11-20,mendoza,matutina,14,2058
2014-11-20,mendoza,matutina,15,5462
2014-11-20,mendoza,matutina,16,8582
2014-11-20,mendoza,matutina,17,6560
2014-11-20,mendoza,matutina,18,8866
2014-11-20,mendoza,matutina,19,6319
2014-11-20,mendoza,matutina,20,2433
2014-11-20,mendoza,matutina,Letras,- - - 
2014-11-21,mendoza,matutina, 1,1009
2014-11-21,mendoza,matutina,2,2051
2014-11-21,mendoza,matutina,3,8034
2014-11-21,mendoza,matutina,4,7807
2014-11-21,mendoza,matutina,5,6184
2014-11-21,mendoza,matutina,6,7742
2014-11-21,mendoza,matutina,7,3109
2014-11-21,mendoza,matutina,8,0090
2014-11-21,mendoza,matutina,9,9247
2014-11-21,mendoza,matutina,10,7126
2014-11-21,mendoza,matutina,11,2105
2014-11-21,mendoza,matutina,12,8303
2014-11-21,mendoza,matutina,13,6622
2014-11-21,mendoza,matutina,14,1634
2014-11-21,mendoza,matutina,15,8128
2014-11-21,mendoza,matutina,16,6418
2014-11-21,mendoza,matutina,17,9870
2014-11-21,mendoza,matutina,18,8850
2014-11-21,mendoza,matutina,19,7101
2014-11-21,mendoza,matutina,20,0389
2014-11-21,mendoza,matutina,Letras,- - - 
2014-11-22,mendoza,matutina, 1,6541
2014-11-22,mendoza,matutina,2,0862
2014-11-22,mendoza,matutina,3,3540
2014-11-22,mendoza,matutina,4,2842
2014-11-22,mendoza,matutina,5,6498
2014-11-22,mendoza,matutina,6,0530
2014-11-22,mendoza,matutina,7,2467
2014-11-22,mendoza,matutina,8,7567
2014-11-22,mendoza,matutina,9,4640
2014-11-22,mendoza,matutina,10,6163
2014-11-22,mendoza,matutina,11,4817
2014-11-22,mendoza,matutina,12,4657
2014-11-22,mendoza,matutina,13,0040
2014-11-22,mendoza,matutina,14,3515
2014-11-22,mendoza,matutina,15,9463
2014-11-22,mendoza,matutina,16,0006
2014-11-22,mendoza,matutina,17,1578
2014-11-22,mendoza,matutina,18,9519
2014-11-22,mendoza,matutina,19,6429
2014-11-22,mendoza,matutina,20,6770
2014-11-22,mendoza,matutina,Letras,- - - 
2014-11-25,mendoza,matutina, 1,5166
2014-11-25,mendoza,matutina,2,3333
2014-11-25,mendoza,matutina,3,3211
2014-11-25,mendoza,matutina,4,3278
2014-11-25,mendoza,matutina,5,0315
2014-11-25,mendoza,matutina,6,6730
2014-11-25,mendoza,matutina,7,4359
2014-11-25,mendoza,matutina,8,5587
2014-11-25,mendoza,matutina,9,5710
2014-11-25,mendoza,matutina,10,7517
2014-11-25,mendoza,matutina,11,9173
2014-11-25,mendoza,matutina,12,3332
2014-11-25,mendoza,matutina,13,6114
2014-11-25,mendoza,matutina,14,7302
2014-11-25,mendoza,matutina,15,0871
2014-11-25,mendoza,matutina,16,8170
2014-11-25,mendoza,matutina,17,5124
2014-11-25,mendoza,matutina,18,2617
2014-11-25,mendoza,matutina,19,3261
2014-11-25,mendoza,matutina,20,1105
2014-11-25,mendoza,matutina,Letras,- - - 
2014-11-26,mendoza,matutina, 1,9358
2014-11-26,mendoza,matutina,2,2780
2014-11-26,mendoza,matutina,3,6116
2014-11-26,mendoza,matutina,4,8115
2014-11-26,mendoza,matutina,5,1355
2014-11-26,mendoza,matutina,6,7468
2014-11-26,mendoza,matutina,7,5440
2014-11-26,mendoza,matutina,8,8053
2014-11-26,mendoza,matutina,9,8306
2014-11-26,mendoza,matutina,10,8773
2014-11-26,mendoza,matutina,11,9513
2014-11-26,mendoza,matutina,12,1411
2014-11-26,mendoza,matutina,13,1628
2014-11-26,mendoza,matutina,14,7430
2014-11-26,mendoza,matutina,15,7990
2014-11-26,mendoza,matutina,16,9730
2014-11-26,mendoza,matutina,17,8091
2014-11-26,mendoza,matutina,18,7158
2014-11-26,mendoza,matutina,19,8790
2014-11-26,mendoza,matutina,20,1180
2014-11-26,mendoza,matutina,Letras,- - - 
2014-11-27,mendoza,matutina, 1,4490
2014-11-27,mendoza,matutina,2,5312
2014-11-27,mendoza,matutina,3,3432
2014-11-27,mendoza,matutina,4,5329
2014-11-27,mendoza,matutina,5,9553
2014-11-27,mendoza,matutina,6,7726
2014-11-27,mendoza,matutina,7,3615
2014-11-27,mendoza,matutina,8,3868
2014-11-27,mendoza,matutina,9,3685
2014-11-27,mendoza,matutina,10,3897
2014-11-27,mendoza,matutina,11,4883
2014-11-27,mendoza,matutina,12,3535
2014-11-27,mendoza,matutina,13,0072
2014-11-27,mendoza,matutina,14,5774
2014-11-27,mendoza,matutina,15,0595
2014-11-27,mendoza,matutina,16,1134
