date,quiniela,period,position,result
2014-11-08,corrientes,matutina,6,0836
2014-11-08,corrientes,matutina,7,8128
2014-11-08,corrientes,matutina,8,4535
2014-11-08,corrientes,matutina,9,5986
2014-11-08,corrientes,matutina,10,5261
2014-11-08,corrientes,matutina,11,5730
2014-11-08,corrientes,matutina,12,4353
2014-11-08,corrientes,matutina,13,4973
2014-11-08,corrientes,matutina,14,0559
2014-11-08,corrientes,matutina,15,1277
2014-11-08,corrientes,matutina,16,3647
2014-11-08,corrientes,matutina,17,5343
2014-11-08,corrientes,matutina,18,8187
2014-11-08,corrientes,matutina,19,2749
2014-11-08,corrientes,matutina,20,8662
2014-11-08,corrientes,matutina,Letras,- - - 
2014-11-10,corrientes,matutina, 1,9544
2014-11-10,corrientes,matutina,2,1710
2014-11-10,corrientes,matutina,3,5318
2014-11-10,corrientes,matutina,4,4178
2014-11-10,corrientes,matutina,5,2867
2014-11-10,corrientes,matutina,6,1739
2014-11-10,corrientes,matutina,7,2300
2014-11-10,corrientes,matutina,8,6824
2014-11-10,corrientes,matutina,9,2259
2014-11-10,corrientes,matutina,10,8380
2014-11-10,corrientes,matutina,11,7410
2014-11-10,corrientes,matutina,12,2348
2014-11-10,corrientes,matutina,13,3022
2014-11-10,corrientes,matutina,14,3619
2014-11-10,corrientes,matutina,15,8233
2014-11-10,corrientes,matutina,16,9912
2014-11-10,corrientes,matutina,17,5665
2014-11-10,corrientes,matutina,18,5435
2014-11-10,corrientes,matutina,19,7102
2014-11-10,corrientes,matutina,20,7608
2014-11-10,corrientes,matutina,Letras,- - - 
2014-11-11,corrientes,matutina, 1,0467
2014-11-11,corrientes,matutina,2,1684
2014-11-11,corrientes,matutina,3,4367
2014-11-11,corrientes,matutina,4,1301
2014-11-11,corrientes,matutina,5,4669
2014-11-11,corrientes,matutina,6,8729
2014-11-11,corrientes,matutina,7,2890
2014-11-11,corrientes,matutina,8,8983
2014-11-11,corrientes,matutina,9,3333
2014-11-11,corrientes,matutina,10,8548
2014-11-11,corrientes,matutina,11,3584
2014-11-11,corrientes,matutina,12,1859
2014-11-11,corrientes,matutina,13,2958
2014-11-11,corrientes,matutina,14,3759
2014-11-11,corrientes,matutina,15,5215
2014-11-11,corrientes,matutina,16,2333
2014-11-11,corrientes,matutina,17,8951
2014-11-11,corrientes,matutina,18,3352
2014-11-11,corrientes,matutina,19,7442
2014-11-11,corrientes,matutina,20,7464
2014-11-11,corrientes,matutina,Letras,- - - 
2014-11-12,corrientes,matutina, 1,6383
2014-11-12,corrientes,matutina,2,6385
2014-11-12,corrientes,matutina,3,7441
2014-11-12,corrientes,matutina,4,8987
2014-11-12,corrientes,matutina,5,2604
2014-11-12,corrientes,matutina,6,9827
2014-11-12,corrientes,matutina,7,0416
2014-11-12,corrientes,matutina,8,8939
2014-11-12,corrientes,matutina,9,4085
2014-11-12,corrientes,matutina,10,9912
2014-11-12,corrientes,matutina,11,6049
2014-11-12,corrientes,matutina,12,7469
2014-11-12,corrientes,matutina,13,1179
2014-11-12,corrientes,matutina,14,9196
2014-11-12,corrientes,matutina,15,3488
2014-11-12,corrientes,matutina,16,6241
2014-11-12,corrientes,matutina,17,0777
2014-11-12,corrientes,matutina,18,4400
2014-11-12,corrientes,matutina,19,5699
2014-11-12,corrientes,matutina,20,8349
2014-11-12,corrientes,matutina,Letras,- - - 
2014-11-13,corrientes,matutina, 1,3397
2014-11-13,corrientes,matutina,2,3796
2014-11-13,corrientes,matutina,3,8475
2014-11-13,corrientes,matutina,4,5614
2014-11-13,corrientes,matutina,5,6850
2014-11-13,corrientes,matutina,6,7191
2014-11-13,corrientes,matutina,7,2455
2014-11-13,corrientes,matutina,8,0498
2014-11-13,corrientes,matutina,9,4218
2014-11-13,corrientes,matutina,10,0058
2014-11-13,corrientes,matutina,11,5359
2014-11-13,corrientes,matutina,12,1254
2014-11-13,corrientes,matutina,13,4347
2014-11-13,corrientes,matutina,14,6510
2014-11-13,corrientes,matutina,15,8279
2014-11-13,corrientes,matutina,16,7266
2014-11-13,corrientes,matutina,17,1575
2014-11-13,corrientes,matutina,18,2461
2014-11-13,corrientes,matutina,19,8440
2014-11-13,corrientes,matutina,20,7227
2014-11-13,corrientes,matutina,Letras,- - - 
2014-11-14,corrientes,matutina, 1,0955
2014-11-14,corrientes,matutina,2,0297
2014-11-14,corrientes,matutina,3,5019
2014-11-14,corrientes,matutina,4,7948
2014-11-14,corrientes,matutina,5,7502
2014-11-14,corrientes,matutina,6,9843
2014-11-14,corrientes,matutina,7,6239
2014-11-14,corrientes,matutina,8,9513
2014-11-14,corrientes,matutina,9,9366
2014-11-14,corrientes,matutina,10,4884
2014-11-14,corrientes,matutina,11,7791
2014-11-14,corrientes,matutina,12,7850
2014-11-14,corrientes,matutina,13,6309
2014-11-14,corrientes,matutina,14,4784
2014-11-14,corrientes,matutina,15,2486
2014-11-14,corrientes,matutina,16,5596
2014-11-14,corrientes,matutina,17,2872
2014-11-14,corrientes,matutina,18,3333
2014-11-14,corrientes,matutina,19,5647
2014-11-14,corrientes,matutina,20,8052
2014-11-14,corrientes,matutina,Letras,- - - 
2014-11-15,corrientes,matutina, 1,4994
2014-11-15,corrientes,matutina,2,4443
2014-11-15,corrientes,matutina,3,2099
2014-11-15,corrientes,matutina,4,3020
2014-11-15,corrientes,matutina,5,3374
2014-11-15,corrientes,matutina,6,0207
2014-11-15,corrientes,matutina,7,9182
2014-11-15,corrientes,matutina,8,2702
2014-11-15,corrientes,matutina,9,7770
2014-11-15,corrientes,matutina,10,7842
2014-11-15,corrientes,matutina,11,2191
2014-11-15,corrientes,matutina,12,7949
2014-11-15,corrientes,matutina,13,9400
2014-11-15,corrientes,matutina,14,0941
2014-11-15,corrientes,matutina,15,5202
2014-11-15,corrientes,matutina,16,4307
2014-11-15,corrientes,matutina,17,5241
2014-11-15,corrientes,matutina,18,4535
2014-11-15,corrientes,matutina,19,9983
2014-11-15,corrientes,matutina,20,7272
2014-11-15,corrientes,matutina,Letras,- - - 
2014-11-17,corrientes,matutina, 1,9894
2014-11-17,corrientes,matutina,2,2883
2014-11-17,corrientes,matutina,3,7372
2014-11-17,corrientes,matutina,4,8921
2014-11-17,corrientes,matutina,5,7790
2014-11-17,corrientes,matutina,6,0184
2014-11-17,corrientes,matutina,7,9390
2014-11-17,corrientes,matutina,8,2913
2014-11-17,corrientes,matutina,9,9046
2014-11-17,corrientes,matutina,10,5904
2014-11-17,corrientes,matutina,11,1171
2014-11-17,corrientes,matutina,12,8645
2014-11-17,corrientes,matutina,13,9574
2014-11-17,corrientes,matutina,14,4751
2014-11-17,corrientes,matutina,15,0651
2014-11-17,corrientes,matutina,16,3089
2014-11-17,corrientes,matutina,17,3075
2014-11-17,corrientes,matutina,18,0948
2014-11-17,corrientes,matutina,19,9407
2014-11-17,corrientes,matutina,20,1605
2014-11-17,corrientes,matutina,Letras,- - - 
2014-11-18,corrientes,matutina, 1,8087
2014-11-18,corrientes,matutina,2,0391
2014-11-18,corrientes,matutina,3,3313
2014-11-18,corrientes,matutina,4,0787
2014-11-18,corrientes,matutina,5,8266
2014-11-18,corrientes,matutina,6,6306
2014-11-18,corrientes,matutina,7,1131
2014-11-18,corrientes,matutina,8,9122
2014-11-18,corrientes,matutina,9,9293
2014-11-18,corrientes,matutina,10,5456
2014-11-18,corrientes,matutina,11,2065
2014-11-18,corrientes,matutina,12,6407
2014-11-18,corrientes,matutina,13,0427
2014-11-18,corrientes,matutina,14,8239
2014-11-18,corrientes,matutina,15,0826
2014-11-18,corrientes,matutina,16,6873
2014-11-18,corrientes,matutina,17,8366
2014-11-18,corrientes,matutina,18,7806
2014-11-18,corrientes,matutina,19,3260
2014-11-18,corrientes,matutina,20,6421
2014-11-18,corrientes,matutina,Letras,- - - 
2014-11-19,corrientes,matutina, 1,2802
2014-11-19,corrientes,matutina,2,0228
2014-11-19,corrientes,matutina,3,0509
2014-11-19,corrientes,matutina,4,0774
2014-11-19,corrientes,matutina,5,9953
2014-11-19,corrientes,matutina,6,7207
2014-11-19,corrientes,matutina,7,3299
2014-11-19,corrientes,matutina,8,0507
2014-11-19,corrientes,matutina,9,0418
2014-11-19,corrientes,matutina,10,8302
2014-11-19,corrientes,matutina,11,9734
2014-11-19,corrientes,matutina,12,4931
2014-11-19,corrientes,matutina,13,5706
2014-11-19,corrientes,matutina,14,5183
2014-11-19,corrientes,matutina,15,7106
2014-11-19,corrientes,matutina,16,8557
2014-11-19,corrientes,matutina,17,1018
2014-11-19,corrientes,matutina,18,1190
2014-11-19,corrientes,matutina,19,2652
2014-11-19,corrientes,matutina,20,1273
2014-11-19,corrientes,matutina,Letras,- - - 
2014-11-20,corrientes,matutina, 1,3331
2014-11-20,corrientes,matutina,2,9225
2014-11-20,corrientes,matutina,3,8164
2014-11-20,corrientes,matutina,4,7526
2014-11-20,corrientes,matutina,5,2837
2014-11-20,corrientes,matutina,6,3246
2014-11-20,corrientes,matutina,7,0425
2014-11-20,corrientes,matutina,8,3886
2014-11-20,corrientes,matutina,9,8207
2014-11-20,corrientes,matutina,10,1060
2014-11-20,corrientes,matutina,11,7653
2014-11-20,corrientes,matutina,12,4497
2014-11-20,corrientes,matutina,13,6326
2014-11-20,corrientes,matutina,14,1608
2014-11-20,corrientes,matutina,15,6503
2014-11-20,corrientes,matutina,16,0889
2014-11-20,corrientes,matutina,17,8612
2014-11-20,corrientes,matutina,18,3464
2014-11-20,corrientes,matutina,19,0704
2014-11-20,corrientes,matutina,20,4416
2014-11-20,corrientes,matutina,Letras,- - - 
2014-11-21,corrientes,matutina, 1,0170
2014-11-21,corrientes,matutina,2,7971
2014-11-21,corrientes,matutina,3,0765
2014-11-21,corrientes,matutina,4,9376
2014-11-21,corrientes,matutina,5,5371
2014-11-21,corrientes,matutina,6,4910
2014-11-21,corrientes,matutina,7,1701
2014-11-21,corrientes,matutina,8,8662
2014-11-21,corrientes,matutina,9,6891
2014-11-21,corrientes,matutina,10,7494
2014-11-21,corrientes,matutina,11,8171
2014-11-21,corrientes,matutina,12,1474
2014-11-21,corrientes,matutina,13,5578
2014-11-21,corrientes,matutina,14,7023
2014-11-21,corrientes,matutina,15,8027
2014-11-21,corrientes,matutina,16,9130
2014-11-21,corrientes,matutina,17,5203
2014-11-21,corrientes,matutina,18,1543
2014-11-21,corrientes,matutina,19,4038
2014-11-21,corrientes,matutina,20,3110
2014-11-21,corrientes,matutina,Letras,- - - 
2014-11-22,corrientes,matutina, 1,6969
2014-11-22,corrientes,matutina,2,7199
2014-11-22,corrientes,matutina,3,6757
2014-11-22,corrientes,matutina,4,0402
2014-11-22,corrientes,matutina,5,5377
2014-11-22,corrientes,matutina,6,6643
2014-11-22,corrientes,matutina,7,5385
2014-11-22,corrientes,matutina,8,1056
2014-11-22,corrientes,matutina,9,2137
2014-11-22,corrientes,matutina,10,3871
2014-11-22,corrientes,matutina,11,9340
2014-11-22,corrientes,matutina,12,3625
2014-11-22,corrientes,matutina,13,4560
2014-11-22,corrientes,matutina,14,0507
2014-11-22,corrientes,matutina,15,8074
2014-11-22,corrientes,matutina,16,0392
2014-11-22,corrientes,matutina,17,1852
2014-11-22,corrientes,matutina,18,7609
2014-11-22,corrientes,matutina,19,5875
2014-11-22,corrientes,matutina,20,0231
2014-11-22,corrientes,matutina,Letras,- - - 
2014-11-24,corrientes,matutina, 1,9982
2014-11-24,corrientes,matutina,2,2982
2014-11-24,corrientes,matutina,3,5759
2014-11-24,corrientes,matutina,4,0555
2014-11-24,corrientes,matutina,5,4312
2014-11-24,corrientes,matutina,6,6619
2014-11-24,corrientes,matutina,7,5938
2014-11-24,corrientes,matutina,8,6409
2014-11-24,corrientes,matutina,9,3006
2014-11-24,corrientes,matutina,10,1341
2014-11-24,corrientes,matutina,11,2375
2014-11-24,corrientes,matutina,12,6109
2014-11-24,corrientes,matutina,13,5972
2014-11-24,corrientes,matutina,14,2194
2014-11-24,corrientes,matutina,15,8057
2014-11-24,corrientes,matutina,16,3410
2014-11-24,corrientes,matutina,17,2811
2014-11-24,corrientes,matutina,18,6677
2014-11-24,corrientes,matutina,19,6785
2014-11-24,corrientes,matutina,20,0179
2014-11-24,corrientes,matutina,Letras,- - - 
2014-11-25,corrientes,matutina, 1,8086
2014-11-25,corrientes,matutina,2,1011
2014-11-25,corrientes,matutina,3,9942
2014-11-25,corrientes,matutina,4,0205
2014-11-25,corrientes,matutina,5,6338
2014-11-25,corrientes,matutina,6,3307
2014-11-25,corrientes,matutina,7,9713
2014-11-25,corrientes,matutina,8,2911
2014-11-25,corrientes,matutina,9,5934
2014-11-25,corrientes,matutina,10,8063
2014-11-25,corrientes,matutina,11,1839
2014-11-25,corrientes,matutina,12,9023
2014-11-25,corrientes,matutina,13,7393
2014-11-25,corrientes,matutina,14,9763
